N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
8,2,2,4,5,0.9969,0.9711,0.2775,0.8408,0.9865,0.9286,0.8205,0.6979,0.0265,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,5319.6700
8,2,4,4,5,0.8535,0.8107,0.3338,0.7640,0.6866,0.6416,0.3867,0.4684,0.0265,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,5319.6700
8,3,2,4,5,0.9974,0.9738,0.2760,0.8410,0.9882,0.9351,0.8317,0.7045,0.0397,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,5319.6700
8,3,4,4,5,0.9133,0.8635,0.3124,0.7921,0.7897,0.7263,0.4820,0.5360,0.0397,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,5319.6700
8,4,2,4,5,0.9974,0.9746,0.2757,0.8418,0.9885,0.9361,0.8324,0.7048,0.0530,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9974,0.9746,0.9885,0.9361,0.8324,0.7048,0.0132,5319.6700
8,4,4,4,5,0.9279,0.8750,0.3012,0.7968,0.8205,0.7504,0.5173,0.5525,0.0530,5319.6700,1.0000,0.9973,0.9983,0.9827,0.8981,0.7543,0.0000,5319.6700,0.9302,0.8767,0.8237,0.7542,0.5219,0.5552,0.0132,5319.6700
8,2,2,8,5,0.9989,0.9968,0.0200,0.8608,0.9894,0.9673,0.8173,0.6025,0.0411,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,3431.0000
8,2,4,8,5,0.9665,0.9056,0.3364,0.8163,0.9071,0.8280,0.6159,0.5225,0.0411,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,3431.0000
8,2,6,8,5,0.8312,0.7801,0.5907,0.7332,0.6737,0.6573,0.3419,0.4197,0.0411,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,3431.0000
8,2,8,8,5,0.4637,0.5380,0.4125,0.5346,0.2100,0.2792,0.1111,0.2276,0.0411,5146.5000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,3431.0000
8,3,2,8,5,0.9997,0.9976,0.0160,0.8601,0.9943,0.9732,0.8231,0.6064,0.0616,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,3431.0000
8,3,4,8,5,0.9797,0.9535,0.2194,0.8491,0.9392,0.8706,0.6879,0.5414,0.0616,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,3431.0000
8,3,6,8,5,0.8970,0.8273,0.5449,0.7623,0.7781,0.7322,0.4422,0.4625,0.0616,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9379,0.8672,0.8542,0.7817,0.5198,0.4951,0.0205,3431.0000
8,3,8,8,5,0.6908,0.7048,0.5626,0.6799,0.4685,0.4911,0.2145,0.3177,0.0616,5146.5000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.7826,0.7655,0.5958,0.6042,0.2952,0.3822,0.0205,3431.0000
8,4,2,8,5,0.9997,0.9976,0.0154,0.8599,0.9943,0.9732,0.8236,0.6066,0.0821,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9997,0.9976,0.9943,0.9732,0.8236,0.6066,0.0205,3431.0000
8,4,4,8,5,0.9851,0.9670,0.1756,0.8567,0.9520,0.8961,0.7186,0.5533,0.0821,3431.0000,1.0000,1.0000,0.9991,0.9946,0.8680,0.6449,0.0000,3431.0000,0.9888,0.9672,0.9555,0.9001,0.7269,0.5543,0.0205,3431.0000
